relative_light_level,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
0,0.00020142857142857148,0.020142857142857146,0.5685714285714276,2.7142857142857144,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
0.5,0.00020112783911126113,0.020112783911126114,0.575187539552255,2.7112783911126117,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
1,0.00020082079092104263,0.020082079092104264,0.5819425997370615,2.7082079092104263,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
1.5,0.000200507309768745,0.0200507309768745,0.5888391850876102,2.70507309768745,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
2,0.00020018727708978753,0.020018727708978754,0.5958799040246738,2.7018727708978756,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
2.5,0.00019986057285822836,0.019986057285822836,0.6030673971189762,2.698605728582284,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
3,0.00019952707560276126,0.019952707560276128,0.6104043367392515,2.695270756027613,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
3.5,0.00019918666242474186,0.019918666242474188,0.6178934266556784,2.691866624247419,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
4,0.00019883920901832925,0.019883920901832927,0.6255374015967563,2.688392090183293,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
4.5,0.00019848458969282698,0.0198484589692827,0.6333390267578061,2.6848458969282696,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
5,0.00019812267739731173,0.019812267739731174,0.6413010972591415,2.6812267739731173,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
5.5,0.00019775334374763835,0.019775334374763833,0.6494264375519565,2.6775334374763844,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
6,0.00019737645905590977,0.019737645905590975,0.6577179007699856,2.673764590559098,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
6.5,0.00019699189236250386,0.019699189236250386,0.6661783680249149,2.6699189236250387,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
7,0.00019659951147074813,0.019659951147074813,0.6748107476435417,2.6659951147074814,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
7.5,0.00019619918298433608,0.019619918298433608,0.6836179743446067,2.661991829843361,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
8,0.00019579077234757676,0.019579077234757675,0.692603008353311,2.6579077234757684,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
8.5,0.00019537414388857277,0.019537414388857276,0.701768834451399,2.653741438885728,active,dark,5,10000,220,10000,100,0.7,0.2,100000,1000
