component,metric,unit,reference,base_frequency_Hz,start_s,end_s,cycles,order,frequency_Hz,known,cosine_coefficient,sine_coefficient,peak_amplitude,rms_amplitude,percent_of_H1,dc_mean,total_rms,ac_rms,requested_max_order,supported_max_order,thd_requested_percent,max_sample_gap_s,method,phase_origin_s,note
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,1,10,true,-2.0276749029823904e-15,2.4317084074161057,2.4317084074161057,1.7194775047522681,100.00000000000001,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,2,20,true,-2.4301036443546975e-16,-2.107244331014512e-16,3.216501576697699e-16,2.274410076580165e-16,1.32273325489527e-14,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,3,30,true,8.4498651565373395e-16,-0.27018982304623407,0.27018982304623407,0.19105305608358542,11.111111111111116,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,4,40,true,1.4266745337193631e-16,-3.115641289885493e-17,1.4602987473923804e-16,1.0325871468393733e-16,6.0052378934038e-15,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,5,50,true,-3.9561859647638253e-16,0.09726833629664408,0.09726833629664408,0.06877910019009062,3.999999999999994,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,6,60,true,-1.559014961398375e-16,-1.9370542360874418e-16,2.4865049292949894e-16,1.7582244969582637e-16,1.0225341663958424e-14,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,7,70,true,1.4339928983836403e-16,-0.049626702192165625,0.049626702192165625,0.035091377648005614,2.0408163265306207,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,8,80,true,-3.9647240568721487e-16,-8.251456158972492e-17,4.049679263173221e-16,2.8635556686203255e-16,1.665363844950614e-14,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,9,90,true,-3.4756133518096255e-16,0.030021091449581372,0.030021091449581372,0.021228117342620468,1.2345679012345605,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,10,100,true,-3.224552786243451e-16,-3.008152808878922e-17,3.2385537674224373e-16,2.2900033301816463e-16,1.3318018548382091e-14,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,11,110,true,3.022891182161147e-16,-0.02009676369765368,0.02009676369765368,0.014210557890514553,0.826446280991732,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
R2,voltage,V,V1,10,0.19999999999999998,0.3,1,12,120,true,-2.7647155398380363e-18,-1.1357695383143462e-16,1.1361059850931188e-16,8.033482462059669e-17,4.672048596074587e-15,8.58586476654849e-17,1.7320508075688767,1.7320508075688767,12,12,12.0759634298972,0.0003906250000000333,piecewise_linear_fourier_integral,0.19999999999999998,Rectangular integer-source-cycle interval; THD includes only H2 through requested order; startup and other frequencies may contribute
