time_s,component,type,terminal_a,terminal_b,value,unit,closed,initial_value,initial_unit,voltage_a_minus_b_V,current_a_to_b_A,power_absorbed_W,stored_energy_J,voltage_known,current_known,method,relative_local_tolerance,absolute_state_tolerance,window_s,source_waveform,source_amplitude,source_frequency_Hz,source_phase_deg,pulse_width_percent,pulse_edge_percent,initial_switch_closed,switch_timing_enabled,switch_schedule_s,time_side,switch_events,diode_model,diode_Is_A,diode_emission,diode_thermal_voltage_V,nonlinear_iterations,controlled_source_kind,control_positive,control_negative,sense_source_id,control_gain,control_value,control_unit,opamp_model,opamp_lower_V,opamp_upper_V,opamp_region,opamp_unlimited_output_V,opamp_headroom_V,opamp_regions_checked,opamp_timing_enabled,opamp_gbw_Hz,opamp_slew_V_per_us,opamp_starting_output_V,opamp_timing_active,opamp_local_slope_V_per_s,opamp_step_slope_V_per_s,zener_knee_V,zener_slope_resistance_ohm,zener_region,diode_series_resistance_ohm,diode_junction_voltage_V,diode_series_voltage_V,diode_junction_power_W,diode_series_power_W,requested_integration,integration_restart
0,V1,voltage,A,0,5,V,,0,,5,-0.05,-0.25,0,true,true,initial_constraints,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0,S2,switch,A,B,0,,true,0,,0,0.05,0,0,true,true,initial_constraints,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,initial_constraints,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0,L4,inductor,B,0,100,mH,,0,A,5,0,0,0,true,true,initial_constraints,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00004,V1,voltage,A,0,5,V,,0,,5,-0.052,-0.26,0,true,true,backward_euler_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,startup
0.00004,S2,switch,A,B,0,,true,0,,0,0.052,0,0,true,true,backward_euler_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,startup
0.00004,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,backward_euler_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,startup
0.00004,L4,inductor,B,0,100,mH,,0,A,5,0.002,0.01,2.0000000000000002e-7,true,true,backward_euler_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,startup
0.00008,V1,voltage,A,0,5,V,,0,,5,-0.054,-0.27,0,true,true,backward_euler_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,startup
0.00008,S2,switch,A,B,0,,true,0,,0,0.054,0,0,true,true,backward_euler_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,startup
0.00008,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,backward_euler_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,startup
0.00008,L4,inductor,B,0,100,mH,,0,A,5,0.004,0.02,8.000000000000001e-7,true,true,backward_euler_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,startup
0.00012000000000000002,V1,voltage,A,0,5,V,,0,,5,-0.056,-0.28,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00012000000000000002,S2,switch,A,B,0,,true,0,,0,0.056,0,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,true,true,1@0.003=open,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00012000000000000002,R3,resistor,B,0,100,Ω,,0,,5,0.05,0.25,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00012000000000000002,L4,inductor,B,0,100,mH,,0,A,5,0.006,0.03,0.0000018000000000000001,true,true,trapezoidal_step_doubling,0.00002,1e-10,0.008,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
0.00016,V1,voltage,A,0,5,V,,0,,5,-0.058,-0.29000000000000004,0,true,true,trapezoidal_step_doubling,0.00002,,0.008,dc,5,10,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trapezoidal,
