time_s,component,type,terminal_a,terminal_b,value,unit,closed,initial_value,initial_unit,voltage_a_minus_b_V,current_a_to_b_A,power_absorbed_W,stored_energy_J,voltage_known,current_known,method,relative_local_tolerance,absolute_state_tolerance,window_s,source_waveform,source_amplitude,source_frequency_Hz,source_phase_deg,pulse_width_percent,pulse_edge_percent,initial_switch_closed,switch_timing_enabled,switch_schedule_s,time_side,switch_events,diode_model,diode_Is_A,diode_emission,diode_thermal_voltage_V,nonlinear_iterations,controlled_source_kind,control_positive,control_negative,sense_source_id,control_gain,control_value,control_unit,opamp_model,opamp_lower_V,opamp_upper_V,opamp_region,opamp_unlimited_output_V,opamp_headroom_V,opamp_regions_checked,opamp_timing_enabled,opamp_gbw_Hz,opamp_slew_V_per_us,opamp_starting_output_V,opamp_timing_active,opamp_local_slope_V_per_s,opamp_step_slope_V_per_s
0,V1,voltage,A,0,0,V,,0,,0,0,0,0,true,true,initial_constraints,0.00002,,0.03,sine,0.1,100,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
0,U2,opamp,B,0,100000,V/V,,0,,0,0,0,0,true,true,initial_constraints,0.00002,1e-7,0.03,,,,,,,,,,,,,,,,0,opamp,A,C,,100000,0,V,dominant-pole-slew,-5,5,tracking,0,5,3,true,1000,1,0,true,0,
0,R3,resistor,B,C,9000,Ω,,0,,0,0,0,0,true,true,initial_constraints,0.00002,,0.03,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
0,R4,resistor,C,0,1000,Ω,,0,,0,0,0,0,true,true,initial_constraints,0.00002,,0.03,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
0,R5,resistor,B,0,10000,Ω,,0,,0,0,0,0,true,true,initial_constraints,0.00002,,0.03,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
4.282277132942656e-7,V1,voltage,A,0,0,V,,0,,0.00002690634043830372,0,0,0,true,true,backward_euler_step_doubling,0.00002,,0.03,sine,0.1,100,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
4.282277132942656e-7,U2,opamp,B,0,100000,V/V,,0,,7.237564086784028e-8,-1.4475128173568056e-11,-1.0476466782061184e-18,0,true,true,backward_euler_step_doubling,0.00002,1e-7,0.03,,,,,,,,,,,,,,,,0,opamp,A,C,,100000,0.000026899102874216935,V,dominant-pole-slew,-5,5,tracking,2.6899102874216934,4.999999927624359,3,true,1000,1,0,true,0.1690120434080964,0.1690120434080964
4.282277132942656e-7,R3,resistor,B,C,9000,Ω,,0,,6.513807678105625e-8,7.237564086784028e-12,4.714410051927532e-19,0,true,true,backward_euler_step_doubling,0.00002,,0.03,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
4.282277132942656e-7,R4,resistor,C,0,1000,Ω,,0,,7.237564086784027e-9,7.237564086784027e-12,5.238233391030591e-20,0,true,true,backward_euler_step_doubling,0.00002,,0.03,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
4.282277132942656e-7,R5,resistor,B,0,10000,Ω,,0,,7.237564086784028e-8,7.237564086784027e-12,5.238233391030591e-19,0,true,true,backward_euler_step_doubling,0.00002,,0.03,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
8.564554265885312e-7,V1,voltage,A,0,0,V,,0,,0.00005381267892871978,0,0,0,true,true,backward_euler_step_doubling,0.00002,,0.03,sine,0.1,100,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
8.564554265885312e-7,U2,opamp,B,0,100000,V/V,,0,,2.1710744701923405e-7,-4.342148940384682e-11,-9.427128710241906e-18,0,true,true,backward_euler_step_doubling,0.00002,1e-7,0.03,,,,,,,,,,,,,,,,0,opamp,A,C,,100000,0.00005379096818401786,V,dominant-pole-slew,-5,5,tracking,5.379096818401786,4.999999782892553,3,true,1000,1,0,true,0.3379786073115224,0.3379786073115224
