input_voltage_V,base_current_A,collector_current_A,collector_voltage_V,drive_voltage_V,region,project,supply_voltage_V,base_resistance_ohm,lamp_resistance_ohm,divider_resistance_ohm,beta,model_vbe_V,model_vce_sat_V,light_dark_resistance_ohm,light_bright_resistance_ohm
0,0,0,5,0,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.025,0,0,5,0.025,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.05,0,0,5,0.05,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.075,0,0,5,0.075,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.1,0,0,5,0.1,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.125,0,0,5,0.125,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.15,0,0,5,0.15,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.175,0,0,5,0.175,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.2,0,0,5,0.2,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.225,0,0,5,0.225,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.25,0,0,5,0.25,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.275,0,0,5,0.275,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.3,0,0,5,0.3,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.325,0,0,5,0.325,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.35,0,0,5,0.35,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.375,0,0,5,0.375,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.4,0,0,5,0.4,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.425,0,0,5,0.425,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.45,0,0,5,0.45,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.475,0,0,5,0.475,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.5,0,0,5,0.5,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.525,0,0,5,0.525,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.55,0,0,5,0.55,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.575,0,0,5,0.575,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
0.6,0,0,5,0.6,cutoff,manual,5,12345.6789,220,,100,0.7,0.2,,
