time_s,component,type,terminal_a,terminal_b,value,unit,closed,initial_value,initial_unit,voltage_a_minus_b_V,current_a_to_b_A,power_absorbed_W,stored_energy_J,voltage_known,current_known,method,relative_local_tolerance,absolute_state_tolerance,window_s,source_waveform,source_amplitude,source_frequency_Hz,source_phase_deg,pulse_width_percent,pulse_edge_percent,initial_switch_closed,switch_timing_enabled,switch_schedule_s,time_side,switch_events,diode_model,diode_Is_A,diode_emission,diode_thermal_voltage_V,nonlinear_iterations,controlled_source_kind,control_positive,control_negative,sense_source_id,control_gain,control_value,control_unit,opamp_model,opamp_lower_V,opamp_upper_V,opamp_region,opamp_unlimited_output_V,opamp_headroom_V,opamp_regions_checked,opamp_timing_enabled,opamp_gbw_Hz,opamp_slew_V_per_us,opamp_starting_output_V,opamp_timing_active,opamp_local_slope_V_per_s,opamp_step_slope_V_per_s
0,V1,voltage,A,0,5,V,,0,,5,-0.000001,-0.0000049999999999999996,0,true,true,initial_constraints,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0,S2,switch,A,B,0,,true,0,,0,0.000001,0,0,true,true,initial_constraints,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,initial_constraints,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,2,,,,,,,,,,,,,,,,,,,,,
0,L4,inductor,B,0,100,mH,,0,A,5,0,0,0,true,true,initial_constraints,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
0.0001,V1,voltage,A,0,5,V,,0,,5,-0.005001,-0.025005,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0001,S2,switch,A,B,0,,true,0,,0,0.005001,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0001,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.0001,L4,inductor,B,0,100,mH,,0,A,5,0.005,0.025,0.00000125,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0002,V1,voltage,A,0,5,V,,0,,5,-0.010001,-0.050004999999999994,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0002,S2,switch,A,B,0,,true,0,,0,0.010001,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0002,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.0002,L4,inductor,B,0,100,mH,,0,A,5,0.01,0.05,0.000005,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.00030000000000000003,V1,voltage,A,0,5,V,,0,,5,-0.015001,-0.075005,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.00030000000000000003,S2,switch,A,B,0,,true,0,,0,0.015001,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.00030000000000000003,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
0.00030000000000000003,L4,inductor,B,0,100,mH,,0,A,5,0.015,0.075,0.000011249999999999999,true,true,backward_euler_step_doubling,0.00002,1e-10,0.02,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0004,V1,voltage,A,0,5,V,,0,,5,-0.020000999999999998,-0.10000499999999998,0,true,true,backward_euler_step_doubling,0.00002,,0.02,dc,5,10,0,50,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0004,S2,switch,A,B,0,,true,0,,0,0.020000999999999998,0,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,true,true,1@0.003=open,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0.0004,D3,diode,0,B,0,,,0,,-5,-0.000001,0.0000049999999999999996,0,true,true,backward_euler_step_doubling,0.00002,,0.02,,,,,,,,,,,,schottky,0.000001,1.1,0.02585,1,,,,,,,,,,,,,,,,,,,,,
