time_s,component,type,terminal_a,terminal_b,value,unit,closed,initial_value,initial_unit,voltage_a_minus_b_V,current_a_to_b_A,power_absorbed_W,stored_energy_J,voltage_known,current_known,method,relative_local_tolerance,absolute_state_tolerance,window_s,source_waveform,source_amplitude,source_frequency_Hz,source_phase_deg,pulse_width_percent,pulse_edge_percent,initial_switch_closed,switch_timing_enabled,switch_schedule_s,time_side,switch_events,diode_model,diode_Is_A,diode_emission,diode_thermal_voltage_V,nonlinear_iterations,controlled_source_kind,control_positive,control_negative,sense_source_id,control_gain,control_value,control_unit,opamp_model,opamp_lower_V,opamp_upper_V,opamp_region,opamp_unlimited_output_V,opamp_headroom_V,opamp_regions_checked,opamp_timing_enabled,opamp_gbw_Hz,opamp_slew_V_per_us,opamp_starting_output_V,opamp_timing_active,opamp_local_slope_V_per_s,opamp_step_slope_V_per_s
0,V1,voltage,A,0,0,V,,0,,0,0,0,0,true,true,initial_constraints,0.00002,,0.15,sine,1,20,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
0,R2,resistor,A,C,1000,Ω,,0,,0,0,0,0,true,true,initial_constraints,0.00002,,0.15,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
0,U3,opamp,B,0,100000,V/V,,0,,0,0,0,0,true,true,initial_constraints,0.00002,,0.15,,,,,,,,,,,,,,,,0,opamp,0,C,,100000,0,V,finite-gain-clamp,-12,12,linear,0,12,3,false,1000000,0.5,0,false,,
0,R4,resistor,B,C,10000,Ω,,0,,0,0,0,0,true,true,initial_constraints,0.00002,,0.15,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
0,C5,capacitor,B,C,1,µF,,0,V,0,0,0,0,true,true,initial_constraints,0.00002,1e-7,0.15,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
0,R6,resistor,B,0,10000,Ω,,0,,0,0,0,0,true,true,initial_constraints,0.00002,,0.15,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
7.594714579277475e-7,V1,voltage,A,0,0,V,,0,,0.0000954379979679843,-9.543799724322224e-8,-9.108411386967135e-12,0,true,true,backward_euler_step_doubling,0.00002,,0.15,sine,1,20,0,50,2,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
7.594714579277475e-7,R2,resistor,A,C,1000,Ω,,0,,0.00009543799724322223,9.543799724322223e-8,9.108411317797294e-12,0,true,true,backward_euler_step_doubling,0.00002,,0.15,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
7.594714579277475e-7,U3,opamp,B,0,100000,V/V,,0,,-7.247620572995037e-8,9.544524486379524e-8,-6.917509202693913e-15,0,true,true,backward_euler_step_doubling,0.00002,,0.15,,,,,,,,,,,,,,,,0,opamp,0,C,,100000,-7.247620572995037e-13,V,finite-gain-clamp,-12,12,linear,-7.247620572995037e-8,11.999999927523794,3,false,1000000,0.5,0,false,,
7.594714579277475e-7,R4,resistor,B,C,10000,Ω,,0,,-7.247693049200767e-8,-7.247693049200767e-12,5.252905453543311e-19,0,true,true,backward_euler_step_doubling,0.00002,,0.15,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
