modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment
0.0,110.00000,110.00000,35.00000,35.00000,28.00000,28.00000,9.00000,9.00000,6.00000,6.00000,160.00,160.00,0.00,0.00
0.1,110.07894,110.07894,34.81483,34.81483,27.47924,27.47924,9.03158,9.03158,6.02842,6.02842,160.00,160.00,0.00,0.00
0.2,110.17976,110.17976,34.62735,34.62735,26.96079,26.96079,9.06297,9.06297,6.05648,6.05648,160.00,160.00,0.00,0.00
0.3,110.30179,110.30179,34.43756,34.43756,26.44473,26.44473,9.09417,9.09417,6.08415,6.08415,160.00,160.00,0.00,0.00
0.4,110.44438,110.44438,34.24548,34.24548,25.93117,25.93117,9.12517,9.12517,6.11141,6.11141,160.00,160.00,0.00,0.00
0.5,110.60688,110.60688,34.05110,34.05110,25.42020,25.42020,9.15595,9.15595,6.13826,6.13826,160.00,160.00,0.00,0.00
0.6,110.78867,110.78867,33.85443,33.85443,24.91194,24.91194,9.18652,9.18652,6.16466,6.16466,160.00,160.00,0.00,0.00
0.7,110.98914,110.98914,33.65547,33.65547,24.40649,24.40649,9.21686,9.21686,6.19061,6.19061,160.00,160.00,0.00,0.00
0.8,111.20767,111.20767,33.45424,33.45424,23.90394,23.90394,9.24696,9.24696,6.21609,6.21609,160.00,160.00,0.00,0.00
0.9,111.44368,111.44368,33.25072,33.25072,23.40442,23.40442,9.27681,9.27681,6.24107,6.24107,160.00,160.00,0.00,0.00
1.0,111.69658,111.69658,33.04493,33.04493,22.90802,22.90802,9.30641,9.30641,6.26554,6.26554,160.00,160.00,0.00,0.00
1.1,111.96579,111.96579,32.83688,32.83688,22.41487,22.41487,9.33574,9.33574,6.28947,6.28947,160.00,160.00,0.00,0.00
1.2,112.25074,112.25074,32.62655,32.62655,21.92506,21.92506,9.36480,9.36480,6.31286,6.31286,160.00,160.00,0.00,0.00
1.3,112.55087,112.55087,32.41396,32.41396,21.43871,21.43871,9.39357,9.39357,6.33567,6.33567,160.00,160.00,0.00,0.00
1.4,112.86562,112.86562,32.19910,32.19910,20.95594,20.95594,9.42205,9.42205,6.35790,6.35790,160.00,160.00,0.00,0.00
1.5,113.19443,113.19443,31.98199,31.98199,20.47686,20.47686,9.45022,9.45022,6.37951,6.37951,160.00,160.00,0.00,0.00
1.6,113.53677,113.53677,31.76263,31.76263,20.00159,20.00159,9.47807,9.47807,6.40049,6.40049,160.00,160.00,0.00,0.00
1.7,113.89208,113.89208,31.54101,31.54101,19.53025,19.53025,9.50560,9.50560,6.42082,6.42082,160.00,160.00,0.00,0.00
1.8,114.25984,114.25984,31.31715,31.31715,19.06296,19.06296,9.53279,9.53279,6.44048,6.44048,160.00,160.00,0.00,0.00
1.9,114.63951,114.63951,31.09105,31.09105,18.59983,18.59983,9.55963,9.55963,6.45944,6.45944,160.00,160.00,0.00,0.00
2.0,115.03057,115.03057,30.86271,30.86271,18.14100,18.14100,9.58611,9.58611,6.47769,6.47769,160.00,160.00,0.00,0.00
2.1,115.43248,115.43248,30.63215,30.63215,17.68658,17.68658,9.61222,9.61222,6.49521,6.49521,160.00,160.00,0.00,0.00
2.2,115.84474,115.84474,30.39936,30.39936,17.23670,17.23670,9.63794,9.63794,6.51197,6.51197,160.00,160.00,0.00,0.00
2.3,116.26683,116.26683,30.16437,30.16437,16.79148,16.79148,9.66327,9.66327,6.52795,6.52795,160.00,160.00,0.00,0.00
2.4,116.69824,116.69824,29.92717,29.92717,16.35104,16.35104,9.68820,9.68820,6.54314,6.54314,160.00,160.00,0.00,0.00
2.5,117.13846,117.13846,29.68778,29.68778,15.91552,15.91552,9.71270,9.71270,6.55751,6.55751,160.00,160.00,0.00,0.00
2.6,117.58700,117.58700,29.44621,29.44621,15.48502,15.48502,9.73678,9.73678,6.57104,6.57104,160.00,160.00,0.00,0.00
2.7,118.04335,118.04335,29.20247,29.20247,15.05969,15.05969,9.76041,9.76041,6.58372,6.58372,160.00,160.00,0.00,0.00
2.8,118.50703,118.50703,28.95659,28.95659,14.63964,14.63964,9.78358,9.78358,6.59551,6.59551,160.00,160.00,0.00,0.00
2.9,118.97756,118.97756,28.70857,28.70857,14.22499,14.22499,9.80629,9.80629,6.60641,6.60641,160.00,160.00,0.00,0.00
3.0,119.45444,119.45444,28.45843,28.45843,13.81587,13.81587,9.82851,9.82851,6.61639,6.61639,160.00,160.00,0.00,0.00
3.1,119.93722,119.93722,28.20621,28.20621,13.41239,13.41239,9.85024,9.85024,6.62544,6.62544,160.00,160.00,0.00,0.00
3.2,120.42541,120.42541,27.95191,27.95191,13.01468,13.01468,9.87146,9.87146,6.63353,6.63353,160.00,160.00,0.00,0.00
3.3,120.91856,120.91856,27.69556,27.69556,12.62285,12.62285,9.89217,9.89217,6.64066,6.64066,160.00,160.00,0.00,0.00
