modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,caterpillars_baseline,caterpillars_experiment,bluetits_baseline,bluetits_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment
0.0,110.00000,110.00000,35.00000,35.00000,28.00000,28.00000,9.00000,9.00000,6.00000,6.00000,20.00000,20.00000,5.00000,5.00000,180.00,180.00,10.00,10.00
0.1,109.88561,109.88561,34.82064,34.82064,27.49504,27.49504,9.02911,9.02911,6.02563,6.02563,19.82676,19.82676,5.02849,5.02849,180.00,180.00,10.00,10.00
0.2,109.80423,109.80423,34.63902,34.63902,26.99242,26.99242,9.05801,9.05801,6.05087,6.05087,19.65278,19.65278,5.05694,5.05694,180.00,180.00,10.00,10.00
0.3,109.75516,109.75516,34.45515,34.45515,26.49225,26.49225,9.08669,9.08669,6.07569,6.07569,19.47807,19.47807,5.08534,5.08534,180.00,180.00,10.00,10.00
0.4,109.73771,109.73771,34.26905,34.26905,25.99462,25.99462,9.11514,9.11514,6.10009,6.10009,19.30268,19.30268,5.11370,5.11370,180.00,180.00,10.00,10.00
0.5,109.75119,109.75119,34.08076,34.08076,25.49964,25.49964,9.14337,9.14337,6.12406,6.12406,19.12663,19.12663,5.14200,5.14200,180.00,180.00,10.00,10.00
0.6,109.79496,109.79496,33.89030,33.89030,25.00743,25.00743,9.17134,9.17134,6.14756,6.14756,18.94996,18.94996,5.17024,5.17024,180.00,180.00,10.00,10.00
0.7,109.86836,109.86836,33.69768,33.69768,24.51808,24.51808,9.19907,9.19907,6.17060,6.17060,18.77268,18.77268,5.19841,5.19841,180.00,180.00,10.00,10.00
0.8,109.97078,109.97078,33.50292,33.50292,24.03170,24.03170,9.22654,9.22654,6.19314,6.19314,18.59482,18.59482,5.22651,5.22651,180.00,180.00,10.00,10.00
0.9,110.10158,110.10158,33.30606,33.30606,23.54841,23.54841,9.25374,9.25374,6.21518,6.21518,18.41643,18.41643,5.25453,5.25453,180.00,180.00,10.00,10.00
1.0,110.26015,110.26015,33.10711,33.10711,23.06829,23.06829,9.28066,9.28066,6.23670,6.23670,18.23752,18.23752,5.28246,5.28246,180.00,180.00,10.00,10.00
1.1,110.44588,110.44588,32.90609,32.90609,22.59147,22.59147,9.30730,9.30730,6.25768,6.25768,18.05812,18.05812,5.31030,5.31030,180.00,180.00,10.00,10.00
1.2,110.65817,110.65817,32.70302,32.70302,22.11805,22.11805,9.33364,9.33364,6.27811,6.27811,17.87826,17.87826,5.33805,5.33805,180.00,180.00,10.00,10.00
1.3,110.89642,110.89642,32.49793,32.49793,21.64813,21.64813,9.35968,9.35968,6.29797,6.29797,17.69797,17.69797,5.36568,5.36568,180.00,180.00,10.00,10.00
1.4,111.16003,111.16003,32.29082,32.29082,21.18183,21.18183,9.38540,9.38540,6.31723,6.31723,17.51727,17.51727,5.39321,5.39321,180.00,180.00,10.00,10.00
1.5,111.44839,111.44839,32.08173,32.08173,20.71925,20.71925,9.41080,9.41080,6.33590,6.33590,17.33621,17.33621,5.42061,5.42061,180.00,180.00,10.00,10.00
1.6,111.76091,111.76091,31.87067,31.87067,20.26049,20.26049,9.43587,9.43587,6.35394,6.35394,17.15479,17.15479,5.44789,5.44789,180.00,180.00,10.00,10.00
1.7,112.09698,112.09698,31.65766,31.65766,19.80567,19.80567,9.46060,9.46060,6.37134,6.37134,16.97305,16.97305,5.47504,5.47504,180.00,180.00,10.00,10.00
1.8,112.45600,112.45600,31.44272,31.44272,19.35489,19.35489,9.48497,9.48497,6.38808,6.38808,16.79102,16.79102,5.50204,5.50204,180.00,180.00,10.00,10.00
1.9,112.83735,112.83735,31.22587,31.22587,18.90826,18.90826,9.50899,9.50899,6.40415,6.40415,16.60872,16.60872,5.52890,5.52890,180.00,180.00,10.00,10.00
2.0,113.24043,113.24043,31.00713,31.00713,18.46589,18.46589,9.53263,9.53263,6.41953,6.41953,16.42619,16.42619,5.55560,5.55560,180.00,180.00,10.00,10.00
2.1,113.66460,113.66460,30.78652,30.78652,18.02787,18.02787,9.55589,9.55589,6.43420,6.43420,16.24344,16.24344,5.58213,5.58213,180.00,180.00,10.00,10.00
2.2,114.10926,114.10926,30.56406,30.56406,17.59432,17.59432,9.57876,9.57876,6.44815,6.44815,16.06051,16.06051,5.60850,5.60850,180.00,180.00,10.00,10.00
2.3,114.57375,114.57375,30.33977,30.33977,17.16534,17.16534,9.60122,9.60122,6.46136,6.46136,15.87743,15.87743,5.63468,5.63468,180.00,180.00,10.00,10.00
2.4,115.05746,115.05746,30.11367,30.11367,16.74104,16.74104,9.62328,9.62328,6.47381,6.47381,15.69422,15.69422,5.66068,5.66068,180.00,180.00,10.00,10.00
2.5,115.55972,115.55972,29.88578,29.88578,16.32151,16.32151,9.64491,9.64491,6.48548,6.48548,15.51092,15.51092,5.68648,5.68648,180.00,180.00,10.00,10.00
2.6,116.07991,116.07991,29.65613,29.65613,15.90686,15.90686,9.66610,9.66610,6.49637,6.49637,15.32754,15.32754,5.71207,5.71207,180.00,180.00,10.00,10.00
2.7,116.61734,116.61734,29.42473,29.42473,15.49718,15.49718,9.68685,9.68685,6.50646,6.50646,15.14412,15.14412,5.73746,5.73746,180.00,180.00,10.00,10.00
2.8,117.17137,117.17137,29.19162,29.19162,15.09259,15.09259,9.70715,9.70715,6.51572,6.51572,14.96068,14.96068,5.76262,5.76262,180.00,180.00,10.00,10.00
2.9,117.74133,117.74133,28.95681,28.95681,14.69317,14.69317,9.72698,9.72698,6.52415,6.52415,14.77726,14.77726,5.78756,5.78756,180.00,180.00,10.00,10.00
3.0,118.32653,118.32653,28.72033,28.72033,14.29902,14.29902,9.74634,9.74634,6.53173,6.53173,14.59388,14.59388,5.81225,5.81225,180.00,180.00,10.00,10.00
3.1,118.92631,118.92631,28.48221,28.48221,13.91024,13.91024,9.76521,9.76521,6.53845,6.53845,14.41057,14.41057,5.83670,5.83670,180.00,180.00,10.00,10.00
3.2,119.53997,119.53997,28.24247,28.24247,13.52691,13.52691,9.78358,9.78358,6.54429,6.54429,14.22736,14.22736,5.86089,5.86089,180.00,180.00,10.00,10.00
3.3,120.16683,120.16683,28.00115,28.00115,13.14912,13.14912,9.80144,9.80144,6.54924,6.54924,14.04429,14.04429,5.88482,5.88482,180.00,180.00,10.00,10.00
3.4,120.80620,120.80620,27.75827,27.75827,12.77697,12.77697,9.81878,9.81878,6.55330,6.55330,13.86137,13.86137,5.90847,5.90847,180.00,180.00,10.00,10.00
3.5,121.45737,121.45737,27.51386,27.51386,12.41052,12.41052,9.83559,9.83559,6.55644,6.55644,13.67864,13.67864,5.93184,5.93184,180.00,180.00,10.00,10.00
3.6,122.11966,122.11966,27.26797,27.26797,12.04987,12.04987,9.85186,9.85186,6.55865,6.55865,13.49614,13.49614,5.95491,5.95491,180.00,180.00,10.00,10.00
3.7,122.79236,122.79236,27.02061,27.02061,11.69509,11.69509,9.86758,9.86758,6.55994,6.55994,13.31388,13.31388,5.97768,5.97768,180.00,180.00,10.00,10.00
3.8,123.47478,123.47478,26.77183,26.77183,11.34625,11.34625,9.88274,9.88274,6.56028,6.56028,13.13191,13.13191,6.00014,6.00014,180.00,180.00,10.00,10.00
3.9,124.16622,124.16622,26.52167,26.52167,11.00343,11.00343,9.89732,9.89732,6.55968,6.55968,12.95024,12.95024,6.02228,6.02228,180.00,180.00,10.00,10.00
4.0,124.86598,124.86598,26.27016,26.27016,10.66668,10.66668,9.91132,9.91132,6.55811,6.55811,12.76893,12.76893,6.04409,6.04409,180.00,180.00,10.00,10.00
4.1,125.57337,125.57337,26.01735,26.01735,10.33606,10.33606,9.92472,9.92472,6.55559,6.55559,12.58799,12.58799,6.06556,6.06556,180.00,180.00,10.00,10.00
