modeled_time,plants_baseline,plants_experiment,rabbits_baseline,rabbits_experiment,voles_baseline,voles_experiment,foxes_baseline,foxes_experiment,owls_baseline,owls_experiment,caterpillars_baseline,caterpillars_experiment,bluetits_baseline,bluetits_experiment,capacity_baseline,capacity_experiment,refuge_cover_percent_baseline,refuge_cover_percent_experiment,soil_detritus_baseline,soil_detritus_experiment,soil_decomposers_baseline,soil_decomposers_experiment,soil_nutrients_baseline,soil_nutrients_experiment,soil_exported_baseline,soil_exported_experiment
0.0,110.00000,110.00000,35.00000,35.00000,28.00000,28.00000,9.00000,9.00000,6.00000,6.00000,20.00000,20.00000,5.00000,5.00000,180.00,180.00,10.00,10.00,30.00000000,30.00000000,8.00000000,8.00000000,4.00000000,4.00000000,0.00000000,0.00000000
0.1,109.69187,109.69187,34.82042,34.82042,27.49512,27.49512,9.02910,9.02910,6.02561,6.02561,19.82667,19.82667,5.02848,5.02848,180.00,180.00,10.00,10.00,30.34211968,30.34211968,8.09220468,8.09220468,3.75693305,3.75693305,0.00000000,0.00000000
0.2,109.42153,109.42153,34.63839,34.63839,26.99244,26.99244,9.05798,9.05798,6.05082,6.05082,19.65252,19.65252,5.05693,5.05693,180.00,180.00,10.00,10.00,30.68010214,30.68010214,8.18582742,8.18582742,3.51425403,3.51425403,0.00000000,0.00000000
0.3,109.18806,109.18806,34.45394,34.45394,26.49207,26.49207,9.08665,9.08665,6.07562,6.07562,19.47756,19.47756,5.08533,5.08533,180.00,180.00,10.00,10.00,31.01395313,31.01395313,8.28088085,8.28088085,3.27203482,3.27203482,0.00000000,0.00000000
0.4,108.99056,108.99056,34.26711,34.26711,25.99413,25.99413,9.11509,9.11509,6.09999,6.09999,19.30184,19.30184,5.11368,5.11368,180.00,180.00,10.00,10.00,31.34367759,31.34367759,8.37737789,8.37737789,3.03034388,3.03034388,0.00000000,0.00000000
0.5,108.82818,108.82818,34.07791,34.07791,25.49873,25.49873,9.14329,9.14329,6.12392,6.12392,19.12539,19.12539,5.14198,5.14198,180.00,180.00,10.00,10.00,31.66927968,31.66927968,8.47533174,8.47533174,2.78924672,2.78924672,0.00000000,0.00000000
0.6,108.70008,108.70008,33.88638,33.88638,25.00599,25.00599,9.17125,9.17125,6.14740,6.14740,18.94824,18.94824,5.17021,5.17021,180.00,180.00,10.00,10.00,31.99076274,31.99076274,8.57475590,8.57475590,2.54880628,2.54880628,0.00000000,0.00000000
0.7,108.60549,108.60549,33.69255,33.69255,24.51602,24.51602,9.19896,9.19896,6.17040,6.17040,18.77042,18.77042,5.19838,5.19838,180.00,180.00,10.00,10.00,32.30812935,32.30812935,8.67566412,8.67566412,2.30908332,2.30908332,0.00000000,0.00000000
0.8,108.54363,108.54363,33.49644,33.49644,24.02893,24.02893,9.22641,9.22641,6.19291,6.19291,18.59196,18.59196,5.22647,5.22647,180.00,180.00,10.00,10.00,32.62138129,32.62138129,8.77807043,8.77807043,2.07013674,2.07013674,0.00000000,0.00000000
0.9,108.51376,108.51376,33.29808,33.29808,23.54485,23.54485,9.25359,9.25359,6.21491,6.21491,18.41290,18.41290,5.25448,5.25448,180.00,180.00,10.00,10.00,32.93051955,32.93051955,8.88198910,8.88198910,1.83202389,1.83202389,0.00000000,0.00000000
1.0,108.51517,108.51517,33.09751,33.09751,23.06388,23.06388,9.28048,9.28048,6.23640,6.23640,18.23327,18.23327,5.28240,5.28240,180.00,180.00,10.00,10.00,33.23554435,33.23554435,8.98743467,8.98743467,1.59480091,1.59480091,0.00000000,0.00000000
1.1,108.54716,108.54716,32.89474,32.89474,22.58614,22.58614,9.30710,9.30710,6.25734,6.25734,18.05310,18.05310,5.31023,5.31023,180.00,180.00,10.00,10.00,33.53645515,33.53645515,9.09442191,9.09442191,1.35852293,1.35852293,0.00000000,0.00000000
1.2,108.60904,108.60904,32.68980,32.68980,22.11174,22.11174,9.33341,9.33341,6.27772,6.27772,17.87242,17.87242,5.33796,5.33796,180.00,180.00,10.00,10.00,33.83325062,33.83325062,9.20296582,9.20296582,1.12324436,1.12324436,0.00000000,0.00000000
1.3,108.70013,108.70013,32.48272,32.48272,21.64080,21.64080,9.35942,9.35942,6.29753,6.29753,17.69126,17.69126,5.36558,5.36558,180.00,180.00,10.00,10.00,34.12592870,34.12592870,9.31308165,9.31308165,0.88901912,0.88901912,0.00000000,0.00000000
1.4,108.81977,108.81977,32.27353,32.27353,21.17344,21.17344,9.38511,9.38511,6.31675,6.31675,17.50966,17.50966,5.39309,5.39309,180.00,180.00,10.00,10.00,34.41448657,34.41448657,9.42478484,9.42478484,0.65590080,0.65590080,0.00000000,0.00000000
1.5,108.96732,108.96732,32.06224,32.06224,20.70976,20.70976,9.41048,9.41048,6.33536,6.33536,17.32764,17.32764,5.42048,5.42048,180.00,180.00,10.00,10.00,34.69892065,34.69892065,9.53809108,9.53809108,0.42394292,0.42394292,0.00000000,0.00000000
1.6,109.14213,109.14213,31.84889,31.84889,20.24988,20.24988,9.43551,9.43551,6.35334,6.35334,17.14524,17.14524,5.44773,5.44773,180.00,180.00,10.00,10.00,34.97922667,34.97922667,9.65301626,9.65301626,0.19319906,0.19319906,0.00000000,0.00000000
1.7,108.89147,108.89147,31.63349,31.63349,19.79391,19.79391,9.46019,9.46019,6.37068,6.37068,16.96248,16.96248,5.47485,5.47485,180.00,180.00,10.00,10.00,35.25538715,35.25538715,9.76957648,9.76957648,0.00894778,0.00894778,0.00000000,0.00000000
1.8,106.84747,106.84747,31.41482,31.41482,19.34117,19.34117,9.48452,9.48452,6.38736,6.38736,16.77883,16.77883,5.50183,5.50183,180.00,180.00,10.00,10.00,35.52654661,35.52654661,9.88778758,9.88778758,0.00907360,0.00907360,0.00000000,0.00000000
1.9,104.86046,104.86046,31.19217,31.19217,18.89134,18.89134,9.50849,9.50849,6.40336,6.40336,16.59400,16.59400,5.52866,5.52866,180.00,180.00,10.00,10.00,35.79218488,35.79218488,10.00766462,10.00766462,0.00920081,0.00920081,0.00000000,0.00000000
2.0,102.93023,102.93023,30.96557,30.96557,18.44460,18.44460,9.53207,9.53207,6.41867,6.41867,16.40804,16.40804,5.55532,5.55532,180.00,180.00,10.00,10.00,36.05229882,36.05229882,10.12922270,10.12922270,0.00932943,0.00932943,0.00000000,0.00000000
2.1,101.05656,101.05656,30.73507,30.73507,18.00112,18.00112,9.55527,9.55527,6.43325,6.43325,16.22098,16.22098,5.58181,5.58181,180.00,180.00,10.00,10.00,36.30688672,36.30688672,10.25247706,10.25247706,0.00945949,0.00945949,0.00000000,0.00000000
2.2,99.23922,99.23922,30.50072,30.50072,17.56106,17.56106,9.57806,9.57806,6.44710,6.44710,16.03289,16.03289,5.60812,5.60812,180.00,180.00,10.00,10.00,36.55594836,36.55594836,10.37744312,10.37744312,0.00959099,0.00959099,0.00000000,0.00000000
2.3,97.47793,97.47793,30.26256,30.26256,17.12461,17.12461,9.60043,9.60043,6.46019,6.46019,15.84380,15.84380,5.63425,5.63425,180.00,180.00,10.00,10.00,36.79948496,36.79948496,10.50413644,10.50413644,0.00972396,0.00972396,0.00000000,0.00000000
2.4,95.77242,95.77242,30.02066,30.02066,16.69194,16.69194,9.62237,9.62237,6.47251,6.47251,15.65378,15.65378,5.66017,5.66017,180.00,180.00,10.00,10.00,37.03749921,37.03749921,10.63257273,10.63257273,0.00985840,0.00985840,0.00000000,0.00000000
2.5,94.12239,94.12239,29.77508,29.77508,16.26322,16.26322,9.64387,9.64387,6.48404,6.48404,15.46287,15.46287,5.68588,5.68588,180.00,180.00,10.00,10.00,37.26999526,37.26999526,10.76276783,10.76276783,0.00999434,0.00999434,0.00000000,0.00000000
2.6,92.52749,92.52749,29.52587,29.52587,15.83862,15.83862,9.66492,9.66492,6.49475,6.49475,15.27113,15.27113,5.71137,5.71137,180.00,180.00,10.00,10.00,37.49697866,37.49697866,10.89473774,10.89473774,0.01013180,0.01013180,0.00000000,0.00000000
2.7,90.98740,90.98740,29.27312,29.27312,15.41832,15.41832,9.68549,9.68549,6.50463,6.50463,15.07862,15.07862,5.73663,5.73663,180.00,180.00,10.00,10.00,37.71845643,37.71845643,11.02849856,11.02849856,0.01027079,0.01027079,0.00000000,0.00000000
2.8,89.50174,89.50174,29.01690,29.01690,15.00250,15.00250,9.70559,9.70559,6.51367,6.51367,14.88540,14.88540,5.76166,5.76166,180.00,180.00,10.00,10.00,37.93443695,37.93443695,11.16406654,11.16406654,0.01041132,0.01041132,0.00000000,0.00000000
2.9,88.07012,88.07012,28.75728,28.75728,14.59132,14.59132,9.72518,9.72518,6.52184,6.52184,14.69153,14.69153,5.78642,5.78642,180.00,180.00,10.00,10.00,38.14492999,38.14492999,11.30145803,11.30145803,0.01055342,0.01055342,0.00000000,0.00000000
3.0,86.69216,86.69216,28.49436,28.49436,14.18496,14.18496,9.74427,9.74427,6.52913,6.52913,14.49707,14.49707,5.81093,5.81093,180.00,180.00,10.00,10.00,38.34994666,38.34994666,11.44068950,11.44068950,0.01069710,0.01069710,0.00000000,0.00000000
3.1,85.36742,85.36742,28.22821,28.22821,13.78358,13.78358,9.76283,9.76283,6.53552,6.53552,14.30209,14.30209,5.83517,5.83517,180.00,180.00,10.00,10.00,38.54949934,38.54949934,11.58177752,11.58177752,0.01084237,0.01084237,0.00000000,0.00000000
