"source","scenario","grid","strategy","battery_units","initial_comparison","target_percent","unit_capacity_kWh","unit_power_kW","bank_capacity_kWh","bank_power_kW","initial_kWh","initial_capped","local_demand_coverage_percent","meets_target","compact_option","demand_kWh","local_supply_kWh","grid_import_kWh","unserved_kWh","curtailed_kWh","battery_loss_kWh","final_storage_kWh","first_local_shortfall_min","power_limited_intervals","energy_or_strategy_limited_intervals","second_source","second_scenario","second_units","second_offset_min","second_settings_json","primary_generation_kWh","second_generation_kWh","demand_shift_enabled","shift_percent","shift_from_start_min","shift_from_end_min","shift_to_start_min","shift_to_end_min"
"solarPv","steady","island","fixed",1,"energy",90,10,0,10,0,10,"true",100,"true","true",15.999999999999979,15.999999999999979,0,0,2354.7935969172895,0,10,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady","island","fixed",1,"energy",90,10,25,10,25,10,"true",100,"true","false",15.999999999999979,15.999999999999979,0,0,2354.7935969172895,0,10,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady","island","fixed",1,"energy",90,10,50,10,50,10,"true",100,"true","false",15.999999999999979,15.999999999999979,0,0,2354.7935969172895,0,10,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady","island","fixed",1,"energy",90,10,75,10,75,10,"true",100,"true","false",15.999999999999979,15.999999999999979,0,0,2354.7935969172895,0,10,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady","island","fixed",1,"energy",90,10,100,10,100,10,"true",100,"true","false",15.999999999999979,15.999999999999979,0,0,2354.7935969172895,0,10,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady","island","fixed",1,"energy",90,57.5,0,57.5,0,57.5,"true",100,"true","false",15.999999999999979,15.999999999999979,0,0,2354.7935969172895,0,57.5,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady","island","fixed",1,"energy",90,57.5,25,57.5,25,57.5,"true",100,"true","false",15.999999999999979,15.999999999999979,0,0,2354.7935969172895,0,57.5,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady","island","fixed",1,"energy",90,57.5,50,57.5,50,57.5,"true",100,"true","false",15.999999999999979,15.999999999999979,0,0,2354.7935969172895,0,57.5,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady","island","fixed",1,"energy",90,57.5,75,57.5,75,57.5,"true",100,"true","false",15.999999999999979,15.999999999999979,0,0,2354.7935969172895,0,57.5,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady","island","fixed",1,"energy",90,57.5,100,57.5,100,57.5,"true",100,"true","false",15.999999999999979,15.999999999999979,0,0,2354.7935969172895,0,57.5,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady","island","fixed",1,"energy",90,105,0,105,0,100,"false",100,"true","false",15.999999999999979,15.999999999999979,0,0,2354.7935969172895,0,100,,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
