minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW
0,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
1,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
2,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
3,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
4,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
5,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
6,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
7,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
8,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
9,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
10,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
11,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
12,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
13,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
14,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
15,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
16,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
17,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
18,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
19,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
20,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
21,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
22,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
23,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
24,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
25,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
26,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
27,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
28,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
29,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
30,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
31,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
32,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
33,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
34,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
35,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
36,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
37,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
38,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
39,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
40,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
41,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
42,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
43,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
44,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
45,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
46,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
47,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
48,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
49,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
50,592.6983992293208,2,2,0,0,0,0,590.6983992293208,100,0,true,0,592.6983992293208,4,2,0
