"source","source_scenario","outage_start_min","outage_end_min","strategy","outage_demand_kWh","outage_served_kWh","outage_unserved_kWh","outage_coverage_percent","first_unserved_interval_min","unserved_intervals","peak_unserved_kW","stored_at_start_kWh","stored_at_end_kWh","grid_import_before_outage_kWh","full_sequence_grid_import_kWh","second_source","second_scenario","second_units","second_offset_min","second_settings_json","primary_generation_kWh","second_generation_kWh","demand_shift_enabled","shift_percent","shift_from_start_min","shift_from_end_min","shift_to_start_min","shift_to_end_min"
"solarPv","steady",0,60,"fixed",2.0000000000000027,2.0000000000000027,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",0,60,"release",2.0000000000000027,2.0000000000000027,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",0,60,"backup",2.0000000000000027,2.0000000000000027,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",45,105,"fixed",3.5000000000000044,3.5000000000000044,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",45,105,"release",3.5000000000000044,3.5000000000000044,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",45,105,"backup",3.5000000000000044,3.5000000000000044,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",90,150,"fixed",6.000000000000005,6.000000000000005,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",90,150,"release",6.000000000000005,6.000000000000005,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",90,150,"backup",6.000000000000005,6.000000000000005,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",135,195,"fixed",5.000000000000002,5.000000000000002,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",135,195,"release",5.000000000000002,5.000000000000002,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",135,195,"backup",5.000000000000002,5.000000000000002,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",180,240,"fixed",4.000000000000005,4.000000000000005,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",180,240,"release",4.000000000000005,4.000000000000005,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
"solarPv","steady",180,240,"backup",4.000000000000005,4.000000000000005,0,100,,0,0,100,100,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,0,60,120,150
