minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW,gridRequested_kW,gridLimited_kW,gridUnavailable_kW,gridCapacity_kW,gridHeadroom_kW
0,0,8,0,0,5,2,1,0,10,2,true,0,0,8,0,0,3,1,0,2,0
1,0,8,0,0,5,2,1,0,9.916666666666666,2,true,0,0,8,0,0,3,1,0,2,0
2,0,8,0,0,5,2,1,0,9.833333333333332,2,true,0,0,8,0,0,3,1,0,2,0
3,0,8,0,0,5,2,1,0,9.749999999999998,2,true,0,0,8,0,0,3,1,0,2,0
4,0,8,0,0,5,2,1,0,9.666666666666664,2,true,0,0,8,0,0,3,1,0,2,0
5,0,8,0,0,5,2,1,0,9.58333333333333,2,true,0,0,8,0,0,3,1,0,2,0
6,0,8,0,0,5,2,1,0,9.499999999999996,2,true,0,0,8,0,0,3,1,0,2,0
7,0,8,0,0,5,2,1,0,9.416666666666663,2,true,0,0,8,0,0,3,1,0,2,0
8,0,8,0,0,5,2,1,0,9.333333333333329,2,true,0,0,8,0,0,3,1,0,2,0
9,0,8,0,0,5,2,1,0,9.249999999999995,2,true,0,0,8,0,0,3,1,0,2,0
10,0,8,0,0,5,2,1,0,9.16666666666666,2,true,0,0,8,0,0,3,1,0,2,0
11,0,8,0,0,5,2,1,0,9.083333333333327,2,true,0,0,8,0,0,3,1,0,2,0
12,0,8,0,0,5,2,1,0,8.999999999999993,2,true,0,0,8,0,0,3,1,0,2,0
13,0,8,0,0,5,2,1,0,8.916666666666659,2,true,0,0,8,0,0,3,1,0,2,0
14,0,8,0,0,5,2,1,0,8.833333333333325,2,true,0,0,8,0,0,3,1,0,2,0
15,0,8,0,0,5,2,1,0,8.749999999999991,2,true,0,0,8,0,0,3,1,0,2,0
16,0,8,0,0,5,2,1,0,8.666666666666657,2,true,0,0,8,0,0,3,1,0,2,0
17,0,8,0,0,5,2,1,0,8.583333333333323,2,true,0,0,8,0,0,3,1,0,2,0
18,0,8,0,0,5,2,1,0,8.49999999999999,2,true,0,0,8,0,0,3,1,0,2,0
19,0,8,0,0,5,2,1,0,8.416666666666655,2,true,0,0,8,0,0,3,1,0,2,0
20,0,8,0,0,5,2,1,0,8.333333333333321,2,true,0,0,8,0,0,3,1,0,2,0
21,0,8,0,0,5,2,1,0,8.249999999999988,2,true,0,0,8,0,0,3,1,0,2,0
22,0,8,0,0,5,2,1,0,8.166666666666654,2,true,0,0,8,0,0,3,1,0,2,0
23,0,8,0,0,5,2,1,0,8.08333333333332,2,true,0,0,8,0,0,3,1,0,2,0
24,0,8,0,0,5,2,1,0,7.999999999999987,2,true,0,0,8,0,0,3,1,0,2,0
25,0,8,0,0,5,2,1,0,7.916666666666654,2,true,0,0,8,0,0,3,1,0,2,0
26,0,8,0,0,5,2,1,0,7.833333333333321,2,true,0,0,8,0,0,3,1,0,2,0
27,0,8,0,0,5,2,1,0,7.749999999999988,2,true,0,0,8,0,0,3,1,0,2,0
28,0,8,0,0,5,2,1,0,7.6666666666666545,2,true,0,0,8,0,0,3,1,0,2,0
29,0,8,0,0,5,2,1,0,7.5833333333333215,2,true,0,0,8,0,0,3,1,0,2,0
30,0,8,0,0,5,2,1,0,7.4999999999999885,2,true,0,0,8,0,0,3,1,0,2,0
31,0,8,0,0,5,2,1,0,7.416666666666655,2,true,0,0,8,0,0,3,1,0,2,0
32,0,8,0,0,5,2,1,0,7.333333333333322,2,true,0,0,8,0,0,3,1,0,2,0
33,0,8,0,0,5,2,1,0,7.249999999999989,2,true,0,0,8,0,0,3,1,0,2,0
34,0,8,0,0,5,2,1,0,7.166666666666656,2,true,0,0,8,0,0,3,1,0,2,0
35,0,8,0,0,5,2,1,0,7.083333333333323,2,true,0,0,8,0,0,3,1,0,2,0
36,0,8,0,0,5,2,1,0,6.99999999999999,2,true,0,0,8,0,0,3,1,0,2,0
37,0,8,0,0,5,2,1,0,6.916666666666657,2,true,0,0,8,0,0,3,1,0,2,0
38,0,8,0,0,5,2,1,0,6.833333333333324,2,true,0,0,8,0,0,3,1,0,2,0
39,0,8,0,0,5,2,1,0,6.749999999999991,2,true,0,0,8,0,0,3,1,0,2,0
40,0,8,0,0,5,2,1,0,6.666666666666658,2,true,0,0,8,0,0,3,1,0,2,0
41,0,8,0,0,5,2,1,0,6.583333333333325,2,true,0,0,8,0,0,3,1,0,2,0
42,0,8,0,0,5,2,1,0,6.499999999999992,2,true,0,0,8,0,0,3,1,0,2,0
43,0,8,0,0,5,2,1,0,6.416666666666659,2,true,0,0,8,0,0,3,1,0,2,0
44,0,8,0,0,5,2,1,0,6.333333333333326,2,true,0,0,8,0,0,3,1,0,2,0
45,0,8,0,0,5,2,1,0,6.249999999999993,2,true,0,0,8,0,0,3,1,0,2,0
46,0,8,0,0,5,2,1,0,6.16666666666666,2,true,0,0,8,0,0,3,1,0,2,0
47,0,8,0,0,5,2,1,0,6.083333333333327,2,true,0,0,8,0,0,3,1,0,2,0
48,0,8,0,0,5,2,1,0,5.999999999999994,2,true,0,0,8,0,0,3,1,0,2,0
49,0,8,0,0,5,2,1,0,5.916666666666661,2,true,0,0,8,0,0,3,1,0,2,0
50,0,8,0,0,5,2,1,0,5.833333333333328,2,true,0,0,8,0,0,3,1,0,2,0
51,0,8,0,0,5,2,1,0,5.749999999999995,2,true,0,0,8,0,0,3,1,0,2,0
52,0,8,0,0,5,2,1,0,5.666666666666662,2,true,0,0,8,0,0,3,1,0,2,0
53,0,8,0,0,5,2,1,0,5.583333333333329,2,true,0,0,8,0,0,3,1,0,2,0
54,0,8,0,0,5,2,1,0,5.499999999999996,2,true,0,0,8,0,0,3,1,0,2,0
55,0,8,0,0,5,2,1,0,5.4166666666666625,2,true,0,0,8,0,0,3,1,0,2,0
56,0,8,0,0,5,2,1,0,5.3333333333333295,2,true,0,0,8,0,0,3,1,0,2,0
57,0,8,0,0,5,2,1,0,5.2499999999999964,2,true,0,0,8,0,0,3,1,0,2,0
58,0,8,0,0,5,2,1,0,5.166666666666663,2,true,0,0,8,0,0,3,1,0,2,0
59,0,8,0,0,5,2,1,0,5.08333333333333,2,true,0,0,8,0,0,3,1,0,2,0
60,0,8,0,0,5,2,1,0,4.999999999999997,2,true,0,0,8,0,0,3,1,0,2,0
61,0,8,0,0,5,2,1,0,4.916666666666664,2,true,0,0,8,0,0,3,1,0,2,0
62,0,8,0,0,5,2,1,0,4.833333333333331,2,true,0,0,8,0,0,3,1,0,2,0
63,0,8,0,0,5,2,1,0,4.749999999999998,2,true,0,0,8,0,0,3,1,0,2,0
64,0,8,0,0,5,2,1,0,4.666666666666665,2,true,0,0,8,0,0,3,1,0,2,0
