"source","source_scenario","outage_start_min","outage_end_min","strategy","outage_demand_kWh","outage_served_kWh","outage_unserved_kWh","outage_coverage_percent","first_unserved_interval_min","unserved_intervals","peak_unserved_kW","stored_at_start_kWh","stored_at_end_kWh","grid_import_before_outage_kWh","full_sequence_grid_import_kWh","second_source","second_scenario","second_units","second_offset_min","second_settings_json","primary_generation_kWh","second_generation_kWh","demand_shift_enabled","shift_percent","shift_from_start_min","shift_from_end_min","shift_to_start_min","shift_to_end_min","grid_limit_enabled","grid_limit_kW","full_sequence_grid_limit_unserved_kWh","full_sequence_grid_unavailable_unserved_kWh"
"solarPv","steady",0,60,"fixed",9.333333333333334,9.333333333333334,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",0,60,"release",9.333333333333334,9.333333333333334,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",0,60,"backup",9.333333333333334,9.333333333333334,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",45,105,"fixed",11.99999999999999,11.99999999999999,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",45,105,"release",11.99999999999999,11.99999999999999,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",45,105,"backup",11.99999999999999,11.99999999999999,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",90,150,"fixed",10.000000000000002,10.000000000000002,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",90,150,"release",10.000000000000002,10.000000000000002,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",90,150,"backup",10.000000000000002,10.000000000000002,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",135,195,"fixed",5.6666666666666625,5.6666666666666625,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",135,195,"release",5.6666666666666625,5.6666666666666625,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",135,195,"backup",5.6666666666666625,5.6666666666666625,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",180,240,"fixed",4.000000000000005,4.000000000000005,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",180,240,"release",4.000000000000005,4.000000000000005,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
"solarPv","steady",180,240,"backup",4.000000000000005,4.000000000000005,0,100,,0,0,10,10,0,0,"wind","steady",1,0,"{""speed"":8,""radius"":40,""cp"":40,""rating"":3000}",0,2370.793596917282,"true",50,160,240,40,120,"true",2,0,0
