"rating_kW","strategy","target_percent","demand_served_percent","meets_target","demand_kWh","grid_import_kWh","unserved_kWh","connection_limit_unserved_kWh","grid_unavailable_unserved_kWh","battery_discharge_kWh","initial_storage_kWh","final_storage_kWh","first_unserved_min","unserved_intervals","peak_import_kW","peak_request_kW","lowest_passing_sample","microgrid_version","study_version","case_settings_json"
0,"fixed",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"true",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""fixed"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":0},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
0,"release",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"true",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":0},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
0,"backup",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"true",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":0},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
1,"fixed",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"false",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""fixed"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":1},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
1,"release",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"false",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":1},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
1,"backup",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"false",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":1},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
2,"fixed",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"false",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""fixed"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":2},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
2,"release",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"false",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":2},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
2,"backup",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"false",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":2},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
3,"fixed",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"false",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""fixed"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
3,"release",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"false",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
3,"backup",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"false",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""backup"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":3},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
4,"fixed",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"false",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""fixed"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":4},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
4,"release",100,100,"true",7.9999999999999805,0,0,0,0,0,10,10,,0,0,0,"false",5,1,"{""source"":""solarPv"",""sourceSettings"":{""irradiance"":0,""area"":20,""efficiency"":20,""incidence"":20},""profileId"":""steady"",""sourceUnits"":1,""companion"":{""enabled"":true,""source"":""wind"",""sourceSettings"":{""speed"":8,""radius"":40,""cp"":40,""rating"":3000},""profileId"":""steady"",""sourceUnits"":1,""offset"":0},""flex"":{""enabled"":true,""percent"":50,""fromStart"":160,""fromMinutes"":80,""toStart"":40,""toMinutes"":80},""battery"":{""capacity"":10,""power"":5,""roundtrip"":100,""initial"":100},""batteryUnits"":1,""reserve"":20,""demand"":2,""policy"":""release"",""loadId"":""flat"",""grid"":""outage"",""gridLimit"":{""enabled"":true,""power"":4},""outageStart"":60,""outageMinutes"":60,""duration"":240}"
