"source","scenario","grid","strategy","battery_units","initial_comparison","target_percent","unit_capacity_kWh","unit_power_kW","bank_capacity_kWh","bank_power_kW","initial_kWh","initial_capped","local_demand_coverage_percent","meets_target","compact_option","demand_kWh","local_supply_kWh","grid_import_kWh","unserved_kWh","curtailed_kWh","battery_loss_kWh","final_storage_kWh","first_local_shortfall_min","power_limited_intervals","energy_or_strategy_limited_intervals","second_source","second_scenario","second_units","second_offset_min","second_settings_json","primary_generation_kWh","second_generation_kWh","demand_shift_enabled","shift_percent","shift_from_start_min","shift_from_end_min","shift_to_start_min","shift_to_end_min","grid_limit_enabled","grid_limit_kW","full_sequence_grid_limit_unserved_kWh","full_sequence_grid_unavailable_unserved_kWh"
"solarPv","clouds","island","fixed",1,"energy",90,10,0,10,0,0,"false",97.90260625723562,"true","true",5.999999999999987,5.874156375434124,0,0.1258436245658696,3.935992289534505,0,0,75,45,45,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0.1258436245658696
"solarPv","clouds","island","fixed",1,"energy",90,10,2.5,10,2.5,0,"false",100,"true","false",5.999999999999987,5.999999999999994,0,0,1.0757883871339493,0.18540094034022744,2.548959337494455,,0,0,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0
"solarPv","clouds","island","fixed",1,"energy",90,10,5,10,5,0,"false",100,"true","false",5.999999999999987,5.999999999999994,0,0,0,0.2520103664245558,3.5581382985440744,,0,0,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0
"solarPv","clouds","island","fixed",1,"energy",90,10,7.5,10,7.5,0,"false",100,"true","false",5.999999999999987,5.999999999999994,0,0,0,0.2520103664245558,3.5581382985440744,,0,0,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0
"solarPv","clouds","island","fixed",1,"energy",90,10,10,10,10,0,"false",100,"true","false",5.999999999999987,5.999999999999994,0,0,0,0.2520103664245558,3.5581382985440744,,0,0,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0
"solarPv","clouds","island","fixed",1,"energy",90,20,0,20,0,0,"false",97.90260625723562,"true","false",5.999999999999987,5.874156375434124,0,0.1258436245658696,3.935992289534505,0,0,75,45,45,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0.1258436245658696
"solarPv","clouds","island","fixed",1,"energy",90,20,2.5,20,2.5,0,"false",100,"true","false",5.999999999999987,5.999999999999994,0,0,1.0757883871339493,0.18540094034022744,2.548959337494455,,0,0,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0
"solarPv","clouds","island","fixed",1,"energy",90,20,5,20,5,0,"false",100,"true","false",5.999999999999987,5.999999999999994,0,0,0,0.2520103664245558,3.5581382985440744,,0,0,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0
"solarPv","clouds","island","fixed",1,"energy",90,20,7.5,20,7.5,0,"false",100,"true","false",5.999999999999987,5.999999999999994,0,0,0,0.2520103664245558,3.5581382985440744,,0,0,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0
"solarPv","clouds","island","fixed",1,"energy",90,20,10,20,10,0,"false",100,"true","false",5.999999999999987,5.999999999999994,0,0,0,0.2520103664245558,3.5581382985440744,,0,0,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0
"solarPv","clouds","island","fixed",1,"energy",90,30,0,30,0,0,"false",97.90260625723562,"true","false",5.999999999999987,5.874156375434124,0,0.1258436245658696,3.935992289534505,0,0,75,45,45,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0.1258436245658696
"solarPv","clouds","island","fixed",1,"energy",90,30,2.5,30,2.5,0,"false",100,"true","false",5.999999999999987,5.999999999999994,0,0,1.0757883871339493,0.18540094034022744,2.548959337494455,,0,0,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0
"solarPv","clouds","island","fixed",1,"energy",90,30,5,30,5,0,"false",100,"true","false",5.999999999999987,5.999999999999994,0,0,0,0.2520103664245558,3.5581382985440744,,0,0,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0
"solarPv","clouds","island","fixed",1,"energy",90,30,7.5,30,7.5,0,"false",100,"true","false",5.999999999999987,5.999999999999994,0,0,0,0.2520103664245558,3.5581382985440744,,0,0,"wind","lull",1,45,"{""speed"":4,""radius"":10,""cp"":40,""rating"":500}",4.13765454784451,5.6724941171241205,"false",50,80,120,20,60,"false",5,0,0
