minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW,gridRequested_kW,gridLimited_kW,gridUnavailable_kW,gridCapacity_kW,gridHeadroom_kW
0,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
1,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.07062502809948162,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
2,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.14125005619896325,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
3,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.21187508429844487,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
4,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.2825001123979265,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
5,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.3531251404974081,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
6,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.42375016859688974,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
7,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.49437519669637137,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
8,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.565000224795853,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
9,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.6356252528953346,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
10,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.7062502809948161,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
11,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.7768753090942977,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
12,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.8475003371937793,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
13,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.9181253652932608,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
14,7.51719197503338,3,3,4.51719197503338,0,0,0,0,0.9887503933927424,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
15,7.51719197503338,3,3,4.51719197503338,0,0,0,0,1.059375421492224,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
16,7.51719197503338,3,3,4.51719197503338,0,0,0,0,1.1300004495917055,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
17,7.51719197503338,3,3,4.51719197503338,0,0,0,0,1.200625477691187,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
18,7.51719197503338,3,3,4.51719197503338,0,0,0,0,1.2712505057906687,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
19,7.51719197503338,3,3,4.51719197503338,0,0,0,0,1.3418755338901502,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
20,7.51719197503338,3,3,4.51719197503338,0,0,0,0,1.4125005619896318,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
21,7.51719197503338,3,3,4.51719197503338,0,0,0,0,1.4831255900891134,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
22,7.51719197503338,3,3,4.51719197503338,0,0,0,0,1.553750618188595,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
23,7.51719197503338,3,3,4.51719197503338,0,0,0,0,1.6243756462880765,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
24,7.51719197503338,3,3,4.51719197503338,0,0,0,0,1.695000674387558,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
25,7.51719197503338,3,3,4.51719197503338,0,0,0,0,1.7656257024870396,0,false,2.886735731054311,4.630456243979069,3,0,0,0,0,0,0,0
26,7.353610283606969,3,3,4.353610283606969,0,0,0,0,1.8362507305865212,0,false,2.7231540396279,4.630456243979069,3,0,0,0,0,0,0,0
27,7.190028592180558,3,3,4.190028592180558,0,0,0,0,1.904318204874386,0,false,2.559572348201489,4.630456243979069,3,0,0,0,0,0,0,0
28,7.026446900754146,3,3,4.026446900754146,0,0,0,0,1.9698281253506342,0,false,2.3959906567750773,4.630456243979069,3,0,0,0,0,0,0,0
29,6.862865209327735,3,3,3.862865209327735,0,0,0,0,2.0327804920152657,0,false,2.2324089653486667,4.630456243979069,3,0,0,0,0,0,0,0
30,6.699283517901325,3,3,3.699283517901325,0,0,0,0,2.0931753048682804,0,false,2.068827273922256,4.630456243979069,3,0,0,0,0,0,0,0
31,6.535701826474913,3,3,3.535701826474913,0,0,0,0,2.1510125639096787,0,false,1.9052455824958447,4.630456243979069,3,0,0,0,0,0,0,0
32,6.372120135048502,3,3,3.372120135048502,0,0,0,0,2.20629226913946,0,false,1.7416638910694335,4.630456243979069,3,0,0,0,0,0,0,0
33,6.208538443622092,3,3,3.208538443622092,0,0,0,0,2.259014420557625,0,false,1.578082199643023,4.630456243979069,3,0,0,0,0,0,0,0
34,6.044956752195681,3,3,3.044956752195681,0,0,0,0,2.3091790181641727,0,false,1.4145005082166122,4.630456243979069,3,0,0,0,0,0,0,0
35,5.88137506076927,3,3,2.88137506076927,0,0,0,0,2.356786061959104,0,false,1.2509188167902014,4.630456243979069,3,0,0,0,0,0,0,0
36,5.717793369342859,3,3,2.717793369342859,0,0,0,0,2.4018355519424186,0,false,1.0873371253637905,4.630456243979069,3,0,0,0,0,0,0,0
37,5.554211677916448,3,3,2.554211677916448,0,0,0,0,2.4443274881141166,0,false,0.9237554339373796,4.630456243979069,3,0,0,0,0,0,0,0
38,5.390629986490038,3,3,2.3906299864900378,0,0,0,0,2.4842618704741977,0,false,0.7601737425109688,4.630456243979069,3,0,0,0,0,0,0,0
39,5.227048295063626,3,3,2.227048295063626,0,0,0,0,2.5216386990226622,0,false,0.5965920510845575,4.630456243979069,3,0,0,0,0,0,0,0
40,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.55645797375951,0,false,0.43301035965814666,4.630456243979069,3,0,0,0,0,0,0,0
41,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.588719694684741,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
42,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.620981415609972,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
43,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.6532431365352034,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
44,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.6855048574604345,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
45,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.7177665783856657,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
46,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.750028299310897,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
47,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.782290020236128,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
48,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.814551741161359,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
49,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.8468134620865904,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
50,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.8790751830118215,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
51,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.9113369039370527,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
52,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.943598624862284,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
53,5.063466603637215,3,3,2.063466603637215,0,0,0,0,2.975860345787515,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
54,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.008122066712746,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
55,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.0403837876379773,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
56,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.0726455085632085,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
57,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.1049072294884397,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
58,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.137168950413671,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
59,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.169430671338902,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
60,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.201692392264133,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
61,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.2339541131893643,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
62,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.2662158341145955,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
63,5.063466603637215,3,3,2.063466603637215,0,0,0,0,3.2984775550398266,0,false,0.43301035965814655,4.630456243979069,3,0,0,0,0,0,0,0
