minute,generation_kW,demand_kW,direct_kW,charge_kW,discharge_kW,grid_kW,unserved_kW,curtailed_kW,stored_kWh,reserve_kWh,gridAvailable,primaryGeneration_kW,companionGeneration_kW,baselineDemand_kW,shiftedOut_kW,shiftedIn_kW,gridRequested_kW,gridLimited_kW,gridUnavailable_kW,gridCapacity_kW,gridHeadroom_kW
0,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
1,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.023244695678765834,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
2,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.04648939135753167,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
3,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.0697340870362975,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
4,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.09297878271506334,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
5,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.11622347839382917,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
6,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.139468174072595,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
7,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.16271286975136084,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
8,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.18595756543012668,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
9,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.2092022611088925,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
10,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.23244695678765834,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
11,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.25569165246642417,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
12,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.27893634814519,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
13,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.3021810438239559,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
14,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.32542573950272174,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
15,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.3486704351814876,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
16,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.37191513086025346,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
17,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.3951598265390193,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
18,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.4184045222177852,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
19,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.44164921789655104,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
20,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.4648939135753169,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
21,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.48813860925408276,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
22,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.5113833049328486,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
23,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.5346280006116144,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
24,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.5578726962903803,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
25,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.5811173919691461,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
26,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.604362087647912,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
27,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.6276067833266779,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
28,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.6508514790054437,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
29,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.6740961746842096,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
30,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.6973408703629754,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
31,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.7205855660417413,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
32,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.7438302617205071,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
33,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.767074957399273,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
34,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.7903196530780389,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
35,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.8135643487568047,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
36,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.8368090444355706,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
37,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.8600537401143364,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
38,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.8832984357931023,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
39,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.9065431314718682,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
40,2.886735731054311,1.4,1.4,1.4867357310543112,0,0,0,0,0.929787827150634,0,true,2.886735731054311,0,1.4,0,0,0,0,0,,
