"source","source_scenario","outage_start_min","outage_end_min","strategy","outage_demand_kWh","outage_served_kWh","outage_unserved_kWh","outage_coverage_percent","first_unserved_interval_min","unserved_intervals","peak_unserved_kW","stored_at_start_kWh","stored_at_end_kWh","grid_import_before_outage_kWh","full_sequence_grid_import_kWh","second_source","second_scenario","second_units","second_offset_min","second_settings_json","primary_generation_kWh","second_generation_kWh","demand_shift_enabled","shift_percent","shift_from_start_min","shift_from_end_min","shift_to_start_min","shift_to_end_min"
"solarPv","steady",0,60,"fixed",9.999999999999998,9.99999999999972,2.794801427323061e-13,99.99999999999721,,0,1.6768808563938364e-11,100,90,0,30.000000000000075,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",0,60,"release",9.999999999999998,9.999999999999998,0,100,,0,0,100,89.99999999999972,0,30.000000000000075,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",0,60,"backup",9.999999999999998,9.999999999999998,0,100,,0,0,100,89.99999999999972,0,30.000000000000075,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",45,105,"fixed",9.999999999999998,2.499999999999714,7.500000000000284,24.999999999997144,60,45,10,92.49999999999979,90,0,22.50000000000002,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",45,105,"release",9.999999999999998,9.999999999999998,0,100,,0,0,92.49999999999979,82.4999999999995,0,22.50000000000002,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",45,105,"backup",9.999999999999998,9.999999999999998,0,100,,0,0,100,89.99999999999972,7.500000000000004,30.000000000000075,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",90,150,"fixed",9.999999999999998,0,9.999999999999998,0,90,60,10,90,90,5.00000000000028,20.000000000000284,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",90,150,"release",9.999999999999998,9.999999999999998,0,100,,0,0,90,79.99999999999972,5.00000000000028,20.000000000000284,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",90,150,"backup",9.999999999999998,9.999999999999998,0,100,,0,0,100,89.99999999999972,14.99999999999998,30.000000000000075,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",135,195,"fixed",9.999999999999998,0,9.999999999999998,0,135,60,10,90,90,12.500000000000268,20.000000000000284,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",135,195,"release",9.999999999999998,9.999999999999998,0,100,,0,0,90,79.99999999999972,12.500000000000268,20.000000000000284,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",135,195,"backup",9.999999999999998,9.999999999999998,0,100,,0,0,100,89.99999999999972,22.50000000000002,30.000000000000075,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",180,240,"fixed",9.999999999999998,0,9.999999999999998,0,180,60,10,90,90,20.000000000000284,20.000000000000284,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",180,240,"release",9.999999999999998,9.999999999999998,0,100,,0,0,90,79.99999999999972,20.000000000000284,20.000000000000284,,,0,,,0,0,"false",50,160,240,40,120
"solarPv","steady",180,240,"backup",9.999999999999998,9.999999999999998,0,100,,0,0,100,89.99999999999972,30.000000000000075,30.000000000000075,,,0,,,0,0,"false",50,160,240,40,120
