Water Worlds investigation
Learning lens: model
Investigation focus: Consecutive storms

Prediction: Woodland will store more water.
Explanation: The same storm produced less outlet flow after changing the patch. These are simplified model results, not a flood forecast.

Current run — completed
Mean rainfall: 45 mm/h for 40 min
Pattern: Steady rain
First / second half: 45 / 45 mm/h
Observation: 100.0 min
Rain in: 1152.00 m³
Outflow: 508.74 m³
Peak flow: 0.1401 m³/s
Storage change: 632.06 m³
Evaporation: 11.20 m³

Pinned baseline — completed
Mean rainfall: 45 mm/h for 40 min
Pattern: Steady rain
First / second half: 45 / 45 mm/h
Observation: 100.0 min
Rain in: 1152.00 m³
Outflow: 563.45 m³
Peak flow: 0.1533 m³/s
Storage change: 578.10 m³
Evaporation: 10.45 m³

Same initial water stores and recorded rainfall; only land cover can differ.
Changed land-cover cells: 9

Model: Water Worlds v1; 12 × 8 cells, 400 m² per cell.
Process-based teaching model; prescribed rain, mild constant evaporative demand, head-gradient surface routing, and delayed subsurface storage. Not a flood or aquifer forecast. Weather and exported water cross the domain boundary.

Minute samples for current run (minute, flow m³/s, surface m³, soil m³)
0.0000, 0.0000, 0.0000, 1612.8000
1.0000, 0.0023, 20.3385, 1621.0433
2.0000, 0.0043, 40.5770, 1629.2614
3.0000, 0.0059, 60.7350, 1637.4545
4.0000, 0.0075, 80.8240, 1645.6225
5.0000, 0.0090, 100.8454, 1653.7657
6.0000, 0.0106, 120.7975, 1661.8840
7.0000, 0.0122, 140.6774, 1669.9776
8.0000, 0.0140, 160.4804, 1678.0466
9.0000, 0.0158, 180.2010, 1686.0910
10.0000, 0.0177, 199.8327, 1694.1109
11.0000, 0.0198, 219.3683, 1702.1064
12.0000, 0.0220, 238.8000, 1710.0776
13.0000, 0.0243, 258.1195, 1718.0246
14.0000, 0.0268, 277.3185, 1725.9474
15.0000, 0.0294, 296.3881, 1733.8461
16.0000, 0.0321, 315.3199, 1741.7209
17.0000, 0.0350, 334.1051, 1749.5717
18.0000, 0.0380, 352.7353, 1757.3988
19.0000, 0.0412, 371.2024, 1765.2020
20.0000, 0.0445, 389.4985, 1772.9816
21.0000, 0.0479, 407.6162, 1780.7377
22.0000, 0.0514, 425.5484, 1788.4702
23.0000, 0.0551, 443.2887, 1796.1793
24.0000, 0.0588, 460.8310, 1803.8651
25.0000, 0.0626, 478.1700, 1811.5275
26.0000, 0.0665, 495.3006, 1819.1668
27.0000, 0.0704, 512.2185, 1826.7830
28.0000, 0.0745, 528.9198, 1834.3762
29.0000, 0.0785, 545.4013, 1841.9464
30.0000, 0.0826, 561.6601, 1849.4937
31.0000, 0.0868, 577.6939, 1857.0183
32.0000, 0.0909, 593.5008, 1864.5201
33.0000, 0.0951, 609.0793, 1871.9992
34.0000, 0.0993, 624.4283, 1879.4558
35.0000, 0.1035, 639.5473, 1886.8899
36.0000, 0.1078, 654.4357, 1894.3016
37.0000, 0.1120, 669.0937, 1901.6910
38.0000, 0.1162, 683.5214, 1909.0580
39.0000, 0.1204, 697.7195, 1916.4029
40.0000, 0.1246, 711.6885, 1923.7257
41.0000, 0.1262, 696.7234, 1931.0264
42.0000, 0.1280, 681.6763, 1938.3052
43.0000, 0.1297, 666.5454, 1945.5621
44.0000, 0.1315, 651.3323, 1952.7971
45.0000, 0.1331, 636.0417, 1960.0104
46.0000, 0.1346, 620.6801, 1967.2020
47.0000, 0.1359, 605.2559, 1974.3721
48.0000, 0.1371, 589.7787, 1981.5206
49.0000, 0.1381, 574.2589, 1988.6476
50.0000, 0.1389, 558.7079, 1995.7533
51.0000, 0.1395, 543.1375, 2002.8376
52.0000, 0.1399, 527.5856, 2009.8752
53.0000, 0.1401, 512.2264, 2016.7057
54.0000, 0.1400, 497.4184, 2022.9847
55.0000, 0.1398, 482.8796, 2029.0061
56.0000, 0.1393, 468.6650, 2034.7278
57.0000, 0.1387, 454.9229, 2040.0147
58.0000, 0.1378, 441.5030, 2045.0283
59.0000, 0.1368, 428.5088, 2049.6784
60.0000, 0.1355, 415.9783, 2053.9384
61.0000, 0.1341, 403.9086, 2057.8218
62.0000, 0.1325, 392.1795, 2061.4579
63.0000, 0.1307, 380.7654, 2064.8826
64.0000, 0.1288, 369.8690, 2067.9035
65.0000, 0.1268, 359.3730, 2070.6448
66.0000, 0.1246, 349.1949, 2073.1968
67.0000, 0.1224, 339.3772, 2075.5234
68.0000, 0.1200, 329.8615, 2077.6881
69.0000, 0.1176, 320.7780, 2079.5664
70.0000, 0.1151, 312.0299, 2081.2575
71.0000, 0.1126, 303.5738, 2082.8080
72.0000, 0.1100, 295.3032, 2084.3259
73.0000, 0.1075, 287.2971, 2085.7340
74.0000, 0.1049, 279.5095, 2087.0782
75.0000, 0.1023, 271.9955, 2088.3041
76.0000, 0.0998, 264.6925, 2089.4729
77.0000, 0.0973, 257.6703, 2090.5141
78.0000, 0.0948, 250.9325, 2091.4224
79.0000, 0.0923, 244.4199, 2092.2546
80.0000, 0.0899, 238.0823, 2093.0577
81.0000, 0.0876, 231.9141, 2093.8340
82.0000, 0.0853, 225.9884, 2094.5075
83.0000, 0.0831, 220.2143, 2095.1639
84.0000, 0.0809, 214.6361, 2095.7553
85.0000, 0.0789, 209.2628, 2096.2678
86.0000, 0.0769, 204.0512, 2096.7400
87.0000, 0.0750, 199.0100, 2097.1583
88.0000, 0.0731, 194.2008, 2097.4574
89.0000, 0.0714, 189.5698, 2097.6860
90.0000, 0.0697, 185.0424, 2097.9141
91.0000, 0.0680, 180.6474, 2098.1094
92.0000, 0.0665, 176.3859, 2098.2671
93.0000, 0.0650, 172.2169, 2098.4246
94.0000, 0.0635, 168.1372, 2098.5817
95.0000, 0.0621, 164.1438, 2098.7385
96.0000, 0.0607, 160.2329, 2098.8950
97.0000, 0.0595, 156.4007, 2099.0512
98.0000, 0.0582, 152.6442, 2099.2071
99.0000, 0.0570, 148.9598, 2099.3627
100.0000, 0.0559, 145.3440, 2099.5180

Spatial water differences at 100 min (current minus baseline)
Column, row, surface difference mm, soil difference mm, delayed difference mm
1, 1, 0.0000, -0.0000, 0.0000
2, 1, 0.0000, -0.0000, 0.0000
3, 1, 0.0000, -0.0000, 0.0000
4, 1, 0.0000, -0.0000, 0.0000
5, 1, 0.0000, -0.0001, 0.0000
6, 1, -0.0034, 0.0000, 0.0000
7, 1, -0.0086, 0.0000, 0.0000
8, 1, 0.0000, -0.0010, 0.0000
9, 1, 0.0000, -0.0001, 0.0000
10, 1, 0.0000, 0.0000, 0.0000
11, 1, 0.0000, 0.0000, 0.0000
12, 1, 0.0000, 0.0000, 0.0000
1, 2, 0.0000, -0.0000, 0.0000
2, 2, 0.0000, -0.0000, 0.0000
3, 2, 0.0000, -0.0000, 0.0000
4, 2, 0.0000, -0.0000, 0.0000
5, 2, 0.0000, -0.0016, 0.0000
6, 2, -0.0937, 0.0000, 0.0000
7, 2, -0.1791, 0.0000, 0.0000
8, 2, 0.0000, -0.0291, 0.0000
9, 2, 0.0000, -0.0041, 0.0000
10, 2, 0.0000, 0.0018, 0.0000
11, 2, 0.0000, 0.0033, 0.0000
12, 2, 0.0000, 0.0000, 0.0000
1, 3, 0.0000, -0.0000, 0.0000
2, 3, 0.0000, -0.0000, 0.0000
3, 3, 0.0000, -0.0000, 0.0000
4, 3, 0.0000, -0.0001, 0.0000
5, 3, 0.0000, -0.0099, 0.0000
6, 3, -0.6940, 0.0000, 0.0000
7, 3, -1.0879, 0.0000, 0.0000
8, 3, 0.0000, -1.0999, 0.0000
9, 3, -0.1931, 23.4907, 0.0000
10, 3, -0.1385, 21.9602, 0.0000
11, 3, -0.0852, 20.6127, 0.0000
12, 3, 0.0000, 0.0022, 0.0000
1, 4, 0.0000, -0.0000, 0.0000
2, 4, 0.0000, -0.0000, 0.0000
3, 4, 0.0000, -0.0000, 0.0000
4, 4, 0.0000, -0.0004, 0.0000
5, 4, 0.0000, -0.0303, 0.0000
6, 4, -2.2449, 0.0000, 0.0000
7, 4, -3.0657, 0.0000, 0.0000
8, 4, 0.0000, -1.7627, 0.0000
9, 4, -0.2341, 23.6541, 0.0000
10, 4, -0.1716, 22.1079, 0.0000
11, 4, -0.1134, 21.2549, 0.0000
12, 4, 0.0002, 0.0000, 0.0000
1, 5, 0.0000, -0.0000, 0.0000
2, 5, 0.0000, -0.0000, 0.0000
3, 5, 0.0000, -0.0000, 0.0000
4, 5, 0.0000, -0.0009, 0.0000
5, 5, 0.0000, -0.0602, 0.0000
6, 5, -4.3812, 0.0000, 0.0000
7, 5, -5.5182, 0.0000, 0.0000
8, 5, 0.0000, -2.2394, 0.0000
9, 5, -0.2632, 23.8771, 0.0000
10, 5, -0.1941, 22.3311, 0.0000
11, 5, -0.1316, 21.6568, 0.0000
12, 5, 0.0002, 0.0000, 0.0000
1, 6, 0.0000, -0.0000, 0.0000
2, 6, 0.0000, -0.0000, 0.0000
3, 6, 0.0000, -0.0000, 0.0000
4, 6, 0.0000, -0.0014, 0.0000
5, 6, 0.0000, -0.0903, 0.0000
6, 6, -5.9906, 0.0000, 0.0000
7, 6, -7.2495, 0.0000, 0.0000
8, 6, 0.0000, -1.9585, 0.0000
9, 6, 0.0000, -2.0341, 0.0000
10, 6, -0.0521, 0.0000, 0.0000
11, 6, -0.0293, 0.0000, 0.0000
12, 6, 0.0000, 0.0000, 0.0000
1, 7, 0.0000, -0.0000, 0.0000
2, 7, 0.0000, -0.0000, 0.0000
3, 7, 0.0000, -0.0000, 0.0000
4, 7, 0.0000, -0.0018, 0.0000
5, 7, 0.0000, -0.1058, 0.0000
6, 7, -5.8108, 0.0000, 0.0000
7, 7, -7.0344, 0.0000, 0.0000
8, 7, -0.0135, -1.6317, 0.0000
9, 7, 0.0000, -1.2221, 0.0000
10, 7, 0.0000, -0.8797, 0.0000
11, 7, 0.0000, -0.3739, 0.0000
12, 7, 0.0000, -0.0008, 0.0000
1, 8, 0.0000, -0.0000, 0.0000
2, 8, 0.0000, -0.0000, 0.0000
3, 8, 0.0000, -0.0001, 0.0000
4, 8, 0.0000, -0.0043, 0.0000
5, 8, -0.0859, 0.0000, 0.0000
6, 8, -2.4350, 0.0000, 0.0000
7, 8, -3.3979, 0.0000, 0.0000
8, 8, -0.9683, 0.0000, 0.0000
9, 8, 0.0000, -0.3939, 0.0000
10, 8, 0.0000, -0.1848, 0.0000
11, 8, 0.0000, -0.0544, 0.0000
12, 8, 0.0000, -0.0008, 0.0000
